name,n,m,p,corr,seed,S,E,ratio,q_star,max_S,relax_gap,theta_S,depth_S,status,outer,cuts,ilp,time,archive,coverage,false_pos,mismatch
molfp_n5_m3_p2_c000_s1,5,3,2,0.0,1,963,8,0.008307372793354102,13.2,32.4,0.5925925925925926,9093,1,optimal,1,9,32,0.2001020908355713,2,25.0,0,0
molfp_n5_m3_p2_c000_s2,5,3,2,0.0,2,1327,27,0.020346646571213264,10.590909090909092,10.590909090909092,0.0,0,0,optimal,1,0,5,0.02536916732788086,1,3.7037037037037037,0,0
molfp_n5_m3_p2_c000_s3,5,3,2,0.0,3,1146,11,0.009598603839441536,6.352941176470588,8.375,0.2414398595258999,2727,2,optimal,2,6,28,0.12471985816955566,3,27.272727272727273,0,0
molfp_n5_m3_p2_c025_s1,5,3,2,0.25,1,963,8,0.008307372793354102,13.2,32.4,0.5925925925925926,7044,1,optimal,1,9,33,0.21286678314208984,1,12.5,0,0
molfp_n5_m3_p2_c025_s2,5,3,2,0.25,2,1327,29,0.02185380557648832,10.590909090909092,10.590909090909092,0.0,0,0,optimal,1,0,5,0.021869182586669922,1,3.4482758620689653,0,0
molfp_n5_m3_p2_c025_s3,5,3,2,0.25,3,1146,1,0.0008726003490401396,5.433333333333334,8.375,0.35124378109452736,3235,3,optimal,1,9,35,0.24600553512573242,1,100.0,0,0
molfp_n5_m3_p2_c050_s1,5,3,2,0.5,1,963,6,0.006230529595015576,13.2,32.4,0.5925925925925926,3894,1,optimal,1,9,33,0.21259689331054688,1,16.666666666666668,0,0
molfp_n5_m3_p2_c050_s2,5,3,2,0.5,2,1327,1,0.0007535795026375283,4.6,10.590909090909092,0.5656652360515021,7377,1,optimal,1,45,141,1.9703528881072998,1,100.0,0,0
molfp_n5_m3_p2_c050_s3,5,3,2,0.5,3,1146,2,0.0017452006980802793,5.433333333333334,8.375,0.35124378109452736,3848,3,optimal,1,10,41,0.2462143898010254,1,50.0,0,0
molfp_n5_m3_p2_c075_s1,5,3,2,0.75,1,963,1,0.0010384215991692627,13.2,32.4,0.5925925925925926,3576,1,optimal,1,9,33,0.20419716835021973,1,100.0,0,0
molfp_n5_m3_p2_c075_s2,5,3,2,0.75,2,1327,1,0.0007535795026375283,4.6,10.590909090909092,0.5656652360515021,9880,1,optimal,1,48,150,1.9772469997406006,1,100.0,0,0
molfp_n5_m3_p2_c075_s3,5,3,2,0.75,3,1146,1,0.0008726003490401396,5.433333333333334,8.375,0.35124378109452736,4737,3,optimal,1,10,42,0.21645879745483398,1,100.0,0,0
molfp_n5_m3_p2_c090_s1,5,3,2,0.9,1,963,1,0.0010384215991692627,13.2,32.4,0.5925925925925926,1740,1,optimal,1,9,34,0.2355813980102539,1,100.0,0,0
molfp_n5_m3_p2_c090_s2,5,3,2,0.9,2,1327,1,0.0007535795026375283,4.6,10.590909090909092,0.5656652360515021,11692,1,optimal,1,44,137,1.3805859088897705,1,100.0,0,0
molfp_n5_m3_p2_c090_s3,5,3,2,0.9,3,1146,1,0.0008726003490401396,5.433333333333334,8.375,0.35124378109452736,4476,3,optimal,1,11,44,0.2915072441101074,1,100.0,0,0
molfp_n5_m3_p2_c100_s1,5,3,2,1.0,1,963,1,0.0010384215991692627,13.2,32.4,0.5925925925925926,1642,2,optimal,1,9,35,0.23720550537109375,1,100.0,0,0
molfp_n5_m3_p2_c100_s2,5,3,2,1.0,2,1327,1,0.0007535795026375283,4.6,10.590909090909092,0.5656652360515021,12592,1,optimal,1,33,104,0.6882915496826172,1,100.0,0,0
molfp_n5_m3_p2_c100_s3,5,3,2,1.0,3,1146,1,0.0008726003490401396,5.433333333333334,8.375,0.35124378109452736,5364,2,optimal,1,7,30,0.17218518257141113,1,100.0,0,0
molfp_n5_m3_p3_c000_s1,5,3,3,0.0,1,963,17,0.017653167185877467,4.705882352941177,11.0,0.5721925133689839,13755,1,optimal,3,43,139,2.8182191848754883,5,29.41176470588235,0,0
